[2025-12-27 23:30:23.133] [INFO] [RobustDebugger] Log file initialized
[2025-12-27 23:30:23.182] [INFO] [RobustDebugger] Debugger initialized successfully
[2025-12-27 23:30:23.184] [INFO] [RobustDebugger] Log file: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_debug.log
[2025-12-27 23:30:23.185] [INFO] [RobustDebugger] Error log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_errors.log
[2025-12-27 23:30:23.186] [INFO] [RobustDebugger] Performance log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_performance.log
[2025-12-27 23:30:23.187] [INFO] [ESPManager] Starting basic ESP with debugger...
[2025-12-27 23:30:23.213] [INFO] [GameState] Game State: GameManager exists, GameStarted=True
[2025-12-27 23:30:23.644] [INFO] [Diagnostics] Diagnostic report created: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\diagnostic_20251227_233023.txt
[2025-12-27 23:30:25.505] [DEBUG] [CameraLogger] Camera Found: Camera active=True, pos=(15.2, 3.8, -0.4), fov=58.0
[2025-12-27 23:30:25.507] [INFO] [ESPManager] Camera found and initialized
[2025-12-27 23:30:26.014] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.229] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.232] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.233] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.234] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.235] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.236] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.252] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.253] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.254] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.256] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.257] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.261] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.262] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.264] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.265] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.266] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.283] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.284] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.285] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.286] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.287] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.290] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.291] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.292] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.294] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.295] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.310] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.312] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.313] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.315] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.316] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.319] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.321] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.322] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.323] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.324] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.350] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.351] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.352] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.354] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.355] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.358] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.359] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.360] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.361] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.362] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.379] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.380] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.382] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.383] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.384] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.387] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.388] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.390] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.391] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.391] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.410] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.412] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.414] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.415] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.416] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.419] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.420] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.422] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.423] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.424] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.439] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.441] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.443] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.444] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.446] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.451] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.452] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.453] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.454] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.455] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.471] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.473] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.474] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.475] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.477] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.481] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.482] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.484] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.485] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.486] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.512] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.513] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.514] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.515] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.525] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.564] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.565] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.566] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.568] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.569] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.586] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.588] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.589] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.590] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.592] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.595] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.596] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.597] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.626] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.627] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.644] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.646] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.647] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.649] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.650] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.653] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.654] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.656] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.657] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.658] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.703] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.706] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.707] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.708] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.710] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.713] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.715] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.716] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.717] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.719] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.753] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.755] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.756] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.758] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.759] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.763] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.764] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.765] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.767] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.768] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.800] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.803] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.805] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.806] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.808] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.813] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.815] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.816] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.817] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.841] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.846] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.847] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.848] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.850] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.851] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.854] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.856] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.857] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.858] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.859] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.889] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.891] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.892] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.894] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.895] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:30.899] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:30.900] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:30.901] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:30.903] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:30.905] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:31.594] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:31.686] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:31.687] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(603,468)
[2025-12-27 23:30:31.689] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(635,474)
[2025-12-27 23:30:31.690] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.4m) Screen=(701,488)
[2025-12-27 23:30:31.691] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.5) (17.2m) Screen=(705,498)
[2025-12-27 23:30:31.696] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:31.697] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(603,468)
[2025-12-27 23:30:31.698] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(635,474)
[2025-12-27 23:30:31.699] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.4m) Screen=(701,488)
[2025-12-27 23:30:31.700] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.5) (17.2m) Screen=(705,498)
[2025-12-27 23:30:32.162] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:32.617] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:33.063] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:33.065] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:33.066] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(603,468)
[2025-12-27 23:30:33.068] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(635,474)
[2025-12-27 23:30:33.069] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.4m) Screen=(701,488)
[2025-12-27 23:30:33.070] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.5) (17.2m) Screen=(705,498)
[2025-12-27 23:30:33.073] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:33.074] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(603,468)
[2025-12-27 23:30:33.075] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(635,474)
[2025-12-27 23:30:33.077] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.4m) Screen=(701,488)
[2025-12-27 23:30:33.077] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.5) (17.2m) Screen=(705,498)
[2025-12-27 23:30:33.125] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:33.126] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.2) (23.9m) Screen=(804,582)
[2025-12-27 23:30:33.128] [ESP] [ESPRenderer] ESP: Enemy at (16.2, 2.0, -24.2) (23.9m) Screen=(835,589)
[2025-12-27 23:30:33.129] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.7) (19.4m) Screen=(904,605)
[2025-12-27 23:30:33.131] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.5) (17.2m) Screen=(908,616)
[2025-12-27 23:30:33.138] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:33.140] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.2) (23.9m) Screen=(804,582)
